Responses cache lab deterministic fixture v1.
This text is intentionally stable and contains no secrets. The experiment asks the model to read it, then replays the accumulated context.
Use the record identifiers and fields as ordinary reference material. Do not invent records that are not present.

record-001 | cohort=alpha | region=west | value=17 | checksum=alpha-west-017
record-002 | cohort=beta | region=east | value=29 | checksum=beta-east-029
record-003 | cohort=gamma | region=north | value=41 | checksum=gamma-north-041
record-004 | cohort=delta | region=south | value=53 | checksum=delta-south-053
record-005 | cohort=epsilon | region=west | value=65 | checksum=epsilon-west-065
record-006 | cohort=zeta | region=east | value=77 | checksum=zeta-east-077
record-007 | cohort=eta | region=north | value=89 | checksum=eta-north-089
record-008 | cohort=theta | region=south | value=101 | checksum=theta-south-101
record-009 | cohort=iota | region=west | value=113 | checksum=iota-west-113
record-010 | cohort=kappa | region=east | value=125 | checksum=kappa-east-125
record-011 | cohort=lambda | region=north | value=137 | checksum=lambda-north-137
record-012 | cohort=mu | region=south | value=149 | checksum=mu-south-149
record-013 | cohort=nu | region=west | value=161 | checksum=nu-west-161
record-014 | cohort=xi | region=east | value=173 | checksum=xi-east-173
record-015 | cohort=omicron | region=north | value=185 | checksum=omicron-north-185
record-016 | cohort=pi | region=south | value=197 | checksum=pi-south-197
record-017 | cohort=rho | region=west | value=209 | checksum=rho-west-209
record-018 | cohort=sigma | region=east | value=221 | checksum=sigma-east-221
record-019 | cohort=tau | region=north | value=233 | checksum=tau-north-233
record-020 | cohort=upsilon | region=south | value=245 | checksum=upsilon-south-245
record-021 | cohort=phi | region=west | value=257 | checksum=phi-west-257
record-022 | cohort=chi | region=east | value=269 | checksum=chi-east-269
record-023 | cohort=psi | region=north | value=281 | checksum=psi-north-281
record-024 | cohort=alpha | region=south | value=293 | checksum=alpha-south-293
record-025 | cohort=beta | region=west | value=305 | checksum=beta-west-305
record-026 | cohort=gamma | region=east | value=317 | checksum=gamma-east-317
record-027 | cohort=delta | region=north | value=329 | checksum=delta-north-329
record-028 | cohort=epsilon | region=south | value=341 | checksum=epsilon-south-341
record-029 | cohort=zeta | region=west | value=353 | checksum=zeta-west-353
record-030 | cohort=eta | region=east | value=365 | checksum=eta-east-365
record-031 | cohort=theta | region=north | value=377 | checksum=theta-north-377
record-032 | cohort=iota | region=south | value=389 | checksum=iota-south-389
record-033 | cohort=kappa | region=west | value=401 | checksum=kappa-west-401
record-034 | cohort=lambda | region=east | value=413 | checksum=lambda-east-413
record-035 | cohort=mu | region=north | value=425 | checksum=mu-north-425
record-036 | cohort=nu | region=south | value=437 | checksum=nu-south-437
record-037 | cohort=xi | region=west | value=449 | checksum=xi-west-449
record-038 | cohort=omicron | region=east | value=461 | checksum=omicron-east-461
record-039 | cohort=pi | region=north | value=473 | checksum=pi-north-473
record-040 | cohort=rho | region=south | value=485 | checksum=rho-south-485
record-041 | cohort=sigma | region=west | value=497 | checksum=sigma-west-497
record-042 | cohort=tau | region=east | value=509 | checksum=tau-east-509
record-043 | cohort=upsilon | region=north | value=521 | checksum=upsilon-north-521
record-044 | cohort=phi | region=south | value=533 | checksum=phi-south-533
record-045 | cohort=chi | region=west | value=545 | checksum=chi-west-545
record-046 | cohort=psi | region=east | value=557 | checksum=psi-east-557
record-047 | cohort=alpha | region=north | value=569 | checksum=alpha-north-569
record-048 | cohort=beta | region=south | value=581 | checksum=beta-south-581
record-049 | cohort=gamma | region=west | value=593 | checksum=gamma-west-593
record-050 | cohort=delta | region=east | value=605 | checksum=delta-east-605
record-051 | cohort=epsilon | region=north | value=617 | checksum=epsilon-north-617
record-052 | cohort=zeta | region=south | value=629 | checksum=zeta-south-629
record-053 | cohort=eta | region=west | value=641 | checksum=eta-west-641
record-054 | cohort=theta | region=east | value=653 | checksum=theta-east-653
record-055 | cohort=iota | region=north | value=665 | checksum=iota-north-665
record-056 | cohort=kappa | region=south | value=677 | checksum=kappa-south-677
record-057 | cohort=lambda | region=west | value=689 | checksum=lambda-west-689
record-058 | cohort=mu | region=east | value=701 | checksum=mu-east-701
record-059 | cohort=nu | region=north | value=713 | checksum=nu-north-713
record-060 | cohort=xi | region=south | value=725 | checksum=xi-south-725
record-061 | cohort=omicron | region=west | value=737 | checksum=omicron-west-737
record-062 | cohort=pi | region=east | value=749 | checksum=pi-east-749
record-063 | cohort=rho | region=north | value=761 | checksum=rho-north-761
record-064 | cohort=sigma | region=south | value=773 | checksum=sigma-south-773
